FE16216230,PS96,SD6,0.6263232
FE16216231,PS96,SD7,0.6334123
FE16216232,PS96,SD8,0.6275986
FE16216233,PS96,SD9,0.6347089
FE16216234,PS96,SD10,0.6275658
FE16216235,PS96,SD11,0.6222524
FE16216236,PS96,SD12,0.6230352
FE16216237,PS96,SD13,0.627388
FE16216238,PS96,SD14,0.6174996
FE16216239,PS96,SD15,0.6260735
FE16216240,PS96,SD16,0.6224817
FE16216241,PS96,SD17,0.6204615
FE16216242,PS96,SD18,0.6271055
FE16216243,PS96,SD19,0.6177095
FE16216244,PS96,SD20,0.6249909
FE16216245,PS96,SD21,0.6213332
FE16216246,PS96,SD22,0.6261925
FE16216247,PS96,SD23,0.6270958
FE16216248,PS96,SD24,0.6314578
FE16216249,PS96,SD25,0.6274238
FE16216250,PS96,SD26,0.6280766
FE16216251,PS96,SD27,0.6297999
FE16216252,PS96,SD28,0.6313993
FE16216253,PS96,SD29,0.6247635
FE16216254,PS96,SD30,0.6270809
FE16216255,PS96,SD31,0.6429227
FE16216256,PS96,SD32,0.6373802
FE16216257,PS96,SD33,0.6489057
FE16216258,PS96,SD34,0.6354794
FE16216259,PS96,SD35,0.6587792
FE16216260,PS96,SD36,0.6713887
FE16216261,PS96,SD37,0.6711176
FE16216262,PS96,SD38,0.6724851
FE16216263,PS96,SD39,0.6583728
FE16216264,PS96,SD40,0.6519395
FE16216265,PS96,SD41,0.6412168
FE16216266,PS96,SD42,0.6309861
FE16216267,PS96,SD43,0.6382571
FE16216268,PS96,SD44,0.6334609
FE16216269,PS96,SD45,0.6289247
FE16216270,PS96,SD46,0.6360648
FE16216271,PS96,SD47,0.6322377
FE16216272,PS96,SD48,0.6294363
FE16216273,PS96,SD49,0.6332629
FE16216274,PS96,SD50,0.6332032
FE16216275,PS96,SD51,0.6392491
FE16216276,PS96,SD52,0.6326677
FE16216277,PS96,SD53,0.6246432
FE16216278,PS96,SD54,0.6281149
FE16216279,PS96,SD55,0.6343601
FE16216280,PS96,SD56,0.6322449
FE16216281,PS96,SD57,0.6298042
FE16216282,PS96,SD58,0.6363268
FE16216283,PS96,SD59,0.6326575
FE16216284,PS96,SD60,0.6374926
FE16216285,PS96,SD61,0.6380873
FE16216286,PS96,SD62,0.6269543
FE16216287,PS96,SD63,0.6355014
FE16216288,PS96,SD64,0.6674962
FE16216289,PS96,SD65,0.6916651
FE16216290,PS96,SD66,0.6745159
FE16216291,PS96,SD67,0.6395932
FE16216292,PS96,SD68,0.6288788
FE16216293,PS96,SD69,0.6308564
FE16216294,PS96,SD70,0.6189998
FE16216295,PS96,SD71,0.6315246
FE16216296,PS96,SD72,0.6378911
FE16216297,PS96,SD73,0.6279794
FE16216298,PS96,SD74,0.6429191
FE16216299,PS96,SD75,0.6470246
FE16216300,PS96,SD76,0.6448127
FE16216301,PS96,SD77,0.6389844
FE16216302,PS96,SD78,0.6302261
FE16216303,PS96,SD79,0.6350405
FE16216304,PS96,SD80,0.6278023
FE16216305,PS96,SD81,0.6166458
FE16216306,PS96,SD82,0.6284957
FE16216307,PS96,SD83,0.6412581
FE16216308,PS96,SD84,0.6485378
FE16216309,PS96,SD85,0.6635901
FE16216310,PS96,SD86,0.6511448
FE16216311,PS96,SD87,0.6367872
FE16216312,PS96,SD88,0.6313384
FE16216313,PS96,SD89,0.6320952
FE16216314,PS96,SD90,0.6189798
FE16216315,PS96,SD91,0.6161979
FE16216316,PS96,SD92,0.6185041
FE16216317,PS96,SD93,0.6190092
FE16216318,PS96,SD94,0.632496
FE16216319,PS96,SD95,0.6254353
FE16216320,PS96,SD96,0.6382198
FE16216321,PS96,SD1,0.6227027
FE16216322,PS96,SD2,0.6214489
FE16216323,PS96,SD3,0.6320718
FE16216324,PS96,SD4,0.6331966
FE16216325,PS96,SD5,0.634145
FE16216326,PS96,SD6,0.6257424
FE16216327,PS96,SD7,0.6224341
FE16216328,PS96,SD8,0.6281136
FE16216329,PS96,SD9,0.6247447
FE16216330,PS96,SD10,0.6308775
FE16216331,PS96,SD11,0.6238114
FE16216332,PS96,SD12,0.6222225
FE16216333,PS96,SD13,0.6311228
FE16216334,PS96,SD14,0.6334784
FE16216335,PS96,SD15,0.6348404
FE16216336,PS96,SD16,0.6330966
FE16216337,PS96,SD17,0.6303234
FE16216338,PS96,SD18,0.6201323
FE16216339,PS96,SD19,0.6212994
FE16216340,PS96,SD20,0.6153759
FE16216341,PS96,SD21,0.6240008
FE16216342,PS96,SD22,0.6147034
FE16216343,PS96,SD23,0.6232113
FE16216344,PS96,SD24,0.6193065
FE16216345,PS96,SD25,0.6071833
FE16216346,PS96,SD26,0.6306951
FE16216347,PS96,SD27,0.6221324
FE16216348,PS96,SD28,0.6247203
FE16216349,PS96,SD29,0.6230984
FE16216350,PS96,SD30,0.621555
FE16216351,PS96,SD31,0.618434
FE16216352,PS96,SD32,0.6191479
